Year;Name;Total;Gender
1985;Louise;932;F
1985;Mette;897;F
1985;Maria;869;F
1985;Camilla;845;F
1985;Christina;792;F
1985;Anne;682;F
1985;Line;482;F
1985;Pernille;476;F
1985;Stine;457;F
1985;Sara;442;F
1985;Karina;437;F
1985;Katrine;432;F
1985;Martin;1190;M
1985;Christian;1090;M
1985;Kasper;1057;M
1985;Morten;964;M
1985;Thomas;962;M
1985;Michael;950;M
1985;Jesper;808;M
1985;Anders;787;M
1985;Rasmus;758;M
1985;Jacob;664;M
1985;Mads;630;M
1985;Søren;570;M
1985;Daniel;543;M
1985;Peter;528;M
1985;Dennis;498;M
1985;Kenneth;479;M
1985;Mikkel;472;M
1985;Jonas;452;M
1985;Lasse;450;M
1985;Henrik;446;M
1985;Kim;445;M
1985;Lars;439;M
1985;Simon;401;M
1986;Christina;1060;F
1986;Louise;950;F
1986;Camilla;919;F
1986;Maria;843;F
1986;Mette;760;F
1986;Anne;581;F
1986;Katrine;522;F
1986;Pernille;485;F
1986;Line;463;F
1986;Stine;457;F
1986;Sara;453;F
1986;Kasper;1171;M
1986;Christian;1166;M
1986;Martin;1074;M
1986;Morten;1061;M
1986;Michael;927;M
1986;Anders;834;M
1986;Thomas;829;M
1986;Jesper;780;M
1986;Jacob;730;M
1986;Jonas;618;M
1986;Søren;561;M
1986;Mads;557;M
1986;Daniel;548;M
1986;Peter;529;M
1986;Kenneth;511;M
1986;Lasse;470;M
1986;Simon;446;M
1986;Mikkel;428;M
1986;Henrik;415;M
1986;Dennis;409;M
1986;Kim;400;M
1987;Camilla;960;F
1987;Christina;905;F
1987;Louise;851;F
1987;Mette;810;F
1987;Maria;696;F
1987;Anne;690;F
1987;Katrine;633;F
1987;Pernille;518;F
1987;Sara;498;F
1987;Line;451;F
1987;Karina;427;F
1987;Julie;421;F
1987;Stine;412;F
1987;Kasper;1215;M
1987;Christian;1118;M
1987;Martin;994;M
1987;Morten;915;M
1987;Thomas;904;M
1987;Michael;873;M
1987;Rasmus;813;M
1987;Anders;764;M
1987;Jesper;733;M
1987;Jacob;722;M
1987;Jonas;660;M
1987;Mads;611;M
1987;Daniel;588;M
1987;Søren;583;M
1987;Peter;526;M
1987;Mikkel;523;M
1987;Lasse;513;M
1987;Nikolaj;472;M
1987;Kenneth;463;M
1987;Simon;457;M
1987;Andreas;433;M
1987;Dennis;430;M
1987;Lars;405;M
1988;Camilla;1167;F
1988;Christina;934;F
1988;Louise;900;F
1988;Mette;765;F
1988;Maria;744;F
1988;Anne;722;F
1988;Katrine;654;F
1988;Sara;537;F
1988;Pernille;511;F
1988;Line;509;F
1988;Julie;480;F
1988;Karina;455;F
1988;Stine;428;F
1988;Rikke;417;F
1988;Kasper;1419;M
1988;Christian;1168;M
1988;Martin;1050;M
1988;Morten;951;M
1988;Rasmus;890;M
1988;Anders;849;M
1988;Thomas;829;M
1988;Michael;806;M
1988;Jakob;732;M
1988;Mads;709;M
1988;Jesper;666;M
1988;Jonas;653;M
1988;Mikkel;631;M
1988;Nikolaj;622;M
1988;Daniel;610;M
1988;Simon;588;M
1988;Lasse;560;M
1988;Søren;546;M
1988;Peter;481;M
1988;Mark;431;M
1988;Dennis;419;M
1988;Andreas;416;M
1988;Mathias;401;M
1989;Camilla;1253;F
1989;Louise;899;F
1989;Christina;881;F
1989;Maria;789;F
1989;Mette;757;F
1989;Katrine;743;F
1989;Anne;696;F
1989;Line;613;F
1989;Pernille;581;F
1989;Sara;528;F
1989;Julie;503;F
1989;Nanna;501;F
1989;Rikke;491;F
1989;Carina;478;F
1989;Stine;419;F
1989;Cecilie;411;F
1989;Kasper;1341;M
1989;Christian;1212;M
1989;Martin;981;M
1989;Morten;923;M
1989;Rasmus;917;M
1989;Mads;869;M
1989;Anders;860;M
1989;Thomas;823;M
1989;Michael;804;M
1989;Nicolaj;725;M
1989;Jacob;710;M
1989;Simon;703;M
1989;Daniel;664;M
1989;Jesper;654;M
1989;Jonas;640;M
1989;Mikkel;640;M
1989;Søren;565;M
1989;Lasse;546;M
1989;Mathias;484;M
1989;Peter;469;M
1989;Andreas;452;M
1989;Dennis;425;M
1990;Camilla;1366;F
1990;Louise;998;F
1990;Maria;793;F
1990;Line;751;F
1990;Christina;744;F
1990;Mette;727;F
1990;Anne;724;F
1990;Katrine;709;F
1990;Sarah;622;F
1990;Pernille;593;F
1990;Julie;540;F
1990;Nanna;514;F
1990;Sofie;486;F
1990;Rikke;476;F
1990;Cecilie;469;F
1990;Michelle;421;F
1990;Christian;1301;M
1990;Kasper;1295;M
1990;Rasmus;1004;M
1990;Nikolaj;994;M
1990;Martin;965;M
1990;Mads;886;M
1990;Anders;849;M
1990;Morten;832;M
1990;Jacob;781;M
1990;Michael;768;M
1990;Mikkel;766;M
1990;Thomas;750;M
1990;Simon;742;M
1990;Jonas;730;M
1990;Daniel;689;M
1990;Jesper;657;M
1990;Mathias;653;M
1990;Nicklas;612;M
1990;Lasse;556;M
1990;Andreas;536;M
1990;Søren;479;M
1990;Peter;446;M
1990;Emil;430;M
1990;Patrick;430;M
1990;Dennis;422;M
1991;Camilla;1412;F
1991;Louise;941;F
1991;Line;859;F
1991;Maria;802;F
1991;Katrine;713;F
1991;Christina;699;F
1991;Julie;669;F
1991;Mette;629;F
1991;Anne;614;F
1991;Pernille;596;F
1991;Sarah;565;F
1991;Cecilie;563;F
1991;Sofie;551;F
1991;Nanna;537;F
1991;Rikke;512;F
1991;Michelle;476;F
1991;Stine;421;F
1991;Kasper;1326;M
1991;Christian;1314;M
1991;Nicolai;1027;M
1991;Rasmus;1016;M
1991;Mads;915;M
1991;Mathias;912;M
1991;Martin;883;M
1991;Anders;860;M
1991;Jacob;817;M
1991;Mikkel;816;M
1991;Jonas;778;M
1991;Morten;762;M
1991;Simon;720;M
1991;Thomas;718;M
1991;Nicklas;695;M
1991;Daniel;685;M
1991;Michael;652;M
1991;Andreas;584;M
1991;Frederik;569;M
1991;Jesper;543;M
1991;Lasse;536;M
1991;Emil;500;M
1991;Peter;475;M
1991;Christoffer;453;M
1991;Søren;422;M
1992;Camilla;1408;F
1992;Louise;950;F
1992;Line;871;F
1992;Maria;844;F
1992;Julie;838;F
1992;Katrine;835;F
1992;Christina;709;F
1992;Pernille;649;F
1992;Mette;647;F
1992;Cecilie;641;F
1992;Anne;635;F
1992;Sofie;629;F
1992;Nanna;596;F
1992;Sarah;590;F
1992;Michelle;534;F
1992;Rikke;511;F
1992;Simone;442;F
1992;Christian;1295;M
1992;Kasper;1205;M
1992;Mathias;1204;M
1992;Nicolai;1102;M
1992;Martin;1081;M
1992;Rasmus;1064;M
1992;Mads;962;M
1992;Mikkel;884;M
1992;Anders;877;M
1992;Jacob;850;M
1992;Jonas;822;M
1992;Simon;781;M
1992;Morten;769;M
1992;Daniel;688;M
1992;Andreas;672;M
1992;Frederik;664;M
1992;Thomas;624;M
1992;Christoffer;574;M
1992;Jesper;545;M
1992;Michael;543;M
1992;Emil;532;M
1992;Lasse;518;M
1992;Patrick;505;M
1992;Søren;504;M
1992;Peter;448;M
1993;Camilla;1257;F
1993;Katrine;881;F
1993;Louise;841;F
1993;Line;789;F
1993;Maria;754;F
1993;Julie;749;F
1993;Cecilie;673;F
1993;Anne;641;F
1993;Sofie;631;F
1993;Christina;628;F
1993;Mette;626;F
1993;Sara;625;F
1993;Pernille;612;F
1993;Nanna;559;F
1993;Michelle;514;F
1993;Rikke;491;F
1993;Simone;474;F
1993;Josefine;416;F
1993;Christian;1263;M
1993;Kasper;1147;M
1993;Mathias;1104;M
1993;Nicolai;1087;M
1993;Rasmus;1012;M
1993;Martin;956;M
